Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
103215284558105,Julie Slomski for State Senate,Friends of Julie Slomski,3882,18
146428732129327,The Nature Conservancy in Florida,Nature Conservancy,3877,41
108695130693745,Andy4Senate,Andy Garrison for Senate,3872,23
223439555209422,My Hero Wears Blue Store,Thuy Linh Nguyen,3869,159
632176236951077,Alliance for Justice Action Campaign,Alliance for Justice Action Campaign,3867,13
150129245063912,Mitchell Community College,Mitchell Community College,3867,80
111515320343670,Andy Ruff for Congress,Friends of Andy Ruff,3866,22
180212755483311,Black Lives Matter,Black Lives Matter Global Network Foundation,3865,35
755724061225054,que Bottle,These ads ran without a disclaimer,3864,3
184752451859,Tom Barrett,Friends of Tom Barrett,3861,4
130936757062757,T-Mobile Workers United (TU),"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",3855,38
214002058736436,Unite America,UNITE AMERICA,3855,163
343618292379217,Planned Parenthood of Metropolitan Washington DC - PPMW,Planned Parenthood of Metropolitan Washington DC,3849,306
103254621302564,Maga2020,Troy Lorenzo Davis,3848,192
126573750728848,Tea Party Nation,Tea Party Nation,3847,6
122773549121265,President Trump for Nobel Peace Prize 2020,Tarek None Kteleh,3844,2
959602417580440,Meghan Reckling,Friends of Meghan Reckling,3844,74
248539568517772,New Jersey League of Conservation Voters,NJ LEAGUE OF CONSERVATION,3840,8
20612127118,North Carolina Democratic Party,NORTH CAROLINA DEMOCRATIC PARTY - FEDERAL,3840,12
105318696193467,Indiana AFL-CIO,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGANIZATIONS,3834,26
104319892920,Michigan Republican Party,"the Michigan Republican Party with regulated funds. Not authorized by any candidate or candidate's committee. 520 Seymour Ave, Lansing MI 48933",3826,15
509467169261454,Team Honda Cares,"Honda North America, Inc.",3826,3
107506870587683,Culp For Governor,Culp for Governor,3825,5
101837144659308,Edward Kroll for Judge,Edward Kroll for Washington County Circuit Court,3823,23
193700787360321,Our Public Lands,NATIONAL WILDLIFE FEDERATION,3820,82
108620667163768,For Our Future,Energy Media,3818,213
111387737042755,Jimmy Stewart for Recorder,Jimmy Stewart for Recorder,3812,42
101081624839798,R. Rex Parris for Mayor,R. Rex Parris for Mayor 2020,3812,14
105793944144555,Derrick McCollum for State House,McCollum for House,3811,83
635850443292528,Nasty Woman Coloring,Nasty Woman Coloring,3809,2
149745555082419,Pioneer Institute for Public Policy Research,"Pioneer Institute, Inc.",3807,12
894315020709961,CARE About Housing,"Coalition for Affordable, Reliable, and Equitable Housing",3807,27
429651323843750,Verizon Wireless Workers Rising,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",3806,36
427084097477881,America's Health Insurance Plans (AHIP),America's Health Insurance Plans,3805,16
109663290694323,Yes Recall Cecilia Iglesias,Yes On Recall Cecilia Iglesias Committee 2020,3804,48
219242560293,Meals on Wheels America,Meals on Wheels America,3799,8
1750524931922821,Jolt Initiative,Jolt Initiative Inc,3798,13
112496480158703,Weld Strong,Weld Strong,3798,13
102913114641084,Deplorable T-Shirts Store,Deplorable T-Shirts,3794,42
42597808880,Ami Horowitz,Ami Horowitz,3793,81
692130814314924,Kathy Landing,KATHY LANDING FOR CONGRESS,3789,28
296356694135040,Goods Unite Us,Goods Unite Us,3786,13
2086540831566733,Ohioans for a Healthy Economy,"Ohioans for a Healthy Economy, Inc.",3782,18
111879105549842,Solon Quinn Studios,Solon Quinn Studios,3781,17
837215636395926,Illinois Coalition for Access to Affordable Medication,Illinois Coalition for Access to Affordable Medication,3777,2
777657635932867,Blessings Through Action,Blessings Through Actions,3771,12
1567917426867690,Elect April Ademiluyi Judge of the Circuit Court,"Chris Ademiluyi, Treasurer, Committee to Elect April Ademiluyi",3768,8
100989951448459,World's News Buzz Updates,Ky'ana Counts,3763,89
586402784803665,OLÉ NewMexico,Organizers in the Land of Enchantment (OLÉ NM),3762,221
166412967339934,Mike Puskaric For State Representative,Friends of Mike Puskaric,3760,10
102853601248861,ShowMe Connection,ShowMe Connection,3759,4
720335251484240,Judson Sapp,JUDSON SAPP FOR CONGRESS,3757,36
