Page ID,Page Name,Disclaimer,Amount Spent (USD)
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,8013
681222398965903,Brian Buchanan for State Senate,Brian Buchanan for State Senate,7766
85452072376,Newsmax,Newsmax Media,7714
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,7594
105756057589080,The Lincoln Project,The Lincoln Project,7562
114710126648118,Republican Dogs,Republican Dogs,7521
101908424664094,Best Home Savers 2020,J D Grace Gorospe,7456
54210104594,Indiana University,Indiana University,7432
105807816205314,REPAIR FWCS,RENEWING EDUCATIONAL PROPERTIES APPROPRIATE INVESTMENT & REPAIRS / REPAIR FWCS,7395
710630445650760,Hoosier Gun Rights,Hoosier Gun Rights,7380
101508504866614,Elect Honest Leadership,ELECT HONEST LEADERSHIP PAC,7256
332716170522025,America First Action,America First Action,7189
18982436812,ACLU,American Civil Liberties Union,6866
236369846383459,Congressional Black Caucus PAC,Congressional Black Caucus PAC,6864
228754857151053,House Majority PAC,House Majority PAC,6853
602714436529710,End Citizens United,END CITIZENS UNITED,6840
717115395103069,PrintedKicks,Printed Kicks,6799
152127834816814,McDermott for Congress,McDermott for Congress,6510
27311599342,Preemptive Love,Preemptive Love Coalition,6371
110085247254725,Sue Glick,Sue Glick for Senate,6335
681626158940626,Mission Roll Call,Americas Warrior Partnership,6326
120551431317,Nickelodeon,Nickelodeon with Facebook Ad Credits,6309
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",6295
833845080319275,The Daily Patriot,Full Tilt Holdings LLC,6273
213792049451918,Stand For America,Stand For America Inc,6195
103979337736591,Mrvan for Congress,MRVAN FOR CONGRESS,6176
101344558026560,Chad Miner for Judge,Committee to Elect Chad M. Miner for Judge,6158
114501575391943,Compare Medicare Quotes,Benepath,5889
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,5859
2037695643113766,Blexit,Blexit Foundation,5830
169294473121454,Policetees.com,PoliceTees.com,5811
314499212242,Pfizer,Pfizer Inc.,5783
137662367278,League of Women Voters of the U.S.,LEAGUE OF WOMEN VOTERS OF THE UNITED STATES,5759
157522514269835,Stand for Children - Indiana,STAND FOR CHILDREN INC,5748
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,5644
116534199732974,USA Carry Online,USA Carry Online,5542
110130647164439,Tonight's News,Ibrahim Oloko,5541
112723367025798,Chicago Census 2020,City Of Chicago,5528
194981393894304,Free Enterprise Alliance,Associated Builders and Contractors - Free Enterprise Alliance,5499
132492254050920,American AF,AAF Nation,5453
104616490980324,John Westercamp for Attorney General,Friends of John Westercamp,5390
11791104453,NRDC,Natural Resources Defense Council,5373
1435071773455316,Daily Wire,The Daily Wire,5369
111407113720926,Vote Scott Baldwin for State Senate,Vote Baldwin,5311
615486485198734,Shelli Yoder for State Senate,Friends of Shelli Yoder,5271
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",5268
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",5177
1194865807192273,Conservative Gear,Outergoods LLC,5165
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,5155
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,5154
