Page ID,Page Name,Disclaimer,Amount Spent (USD)
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,9928
294196590710262,FWD.us,FWD.us,9911
195185518117,Loudoun County Economic Development,Loudoun County Economic Development,9872
27311599342,Preemptive Love,Preemptive Love Coalition,9856
169124877249,AARP Virginia,AARP,9760
2037695643113766,Blexit,Blexit Foundation,9741
102734125953,Rob Wittman,ROB WITTMAN FOR CONGRESS,9656
265251610146,Virginia League of Conservation Voters,Virginia League of Conservation Voters,9647
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,9441
203805062990264,Ben Shapiro,The Daily Wire,9355
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,9336
105732744375701,Steve Bullock,Montanans for Bullock,9037
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,8946
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",8848
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,8838
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,8755
158791100909689,Concerned Veterans for America,Concerned Veterans for America,8710
950998258312654,Knowhere,"Knowhere, Inc.",8650
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",8650
203197030603239,8 Billion Trees,8 Billion Trees LLC,8513
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,8315
309308412520731,Sandy Hook Promise,Sandy Hook Promise,8214
17911165812,Covenant House International,Covenant House,8169
25852730092,Care2,Care2 Inc,8162
1487587521541634,President Donald Trump Fan Club,I Love My Freedom,8081
27549728910,Fairfax County Government,Fairfax County Government,8061
332716170522025,America First Action,America First Action,8058
101210588150219,Boy Scouts Abuse Claims,X Social Media LLC,8002
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,7994
107953199261156,ifaw,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",7945
7483836629,Ancestry,Ancestry.com Operations Inc.,7921
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",7860
30139072158,CARE,CARE,7828
358113240871900,Nuclear Energy Institute,"NUCLEAR ENERGY INSTITUTE, INC.",7824
345504286342057,Keeping America Great Again,RightWingGear.com,7823
168051710543266,Lacy Johnson,Lacy Johnson for Congress,7659
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,7494
108150757317741,Jarome Bell for Virginia,JAROME BELL FOR CONGRESS,7392
38932542633,Rep. Rob Wittman,Rep. Rob Wittman,7367
15224565129,Gerry Connolly,CONNOLLY FOR CONGRESS,7335
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,7314
839259223126946,"Jordan Grossman, Ward 2",Jordan Grossman for Ward 2,7197
1750385168625232,John McGuire for Congress,John McGuire for Virginia,7110
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,7078
11791104453,NRDC,Natural Resources Defense Council,7075
102988591071943,Daniel Gade,"GADE FOR VIRGINIA, INC.",7060
110130647164439,Tonight's News,Ibrahim Oloko,7036
1435071773455316,Daily Wire,The Daily Wire,6920
14440196673,Teamsters,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,6821
2078647579047586,Project Pulso,Project Pulso,6754
246323280108,American Medical Association (AMA),American Medical Association,6743
652735891861686,Ben Loyola,BEN LOYOLA FOR CONGRESS,6706
114501575391943,Compare Medicare Quotes,Benepath,6586
85452072376,Newsmax,Newsmax Media,6555
393932827634250,Dissent Pins,Common Practice,6541
114710126648118,Republican Dogs,Republican Dogs,6449
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,6433
137427899615856,"Central Union Mission, DC",CENTRAL UNION MISSION (INC),6408
706414369427081,Nick Freitas,Friends of Nick Freitas Inc.,6355
179301645517086,Advanced Energy Economy,Advanced Energy Economy,6311
605168822998856,314 Action,314 ACTION FUND,6250
224143668537493,Better Care America,Better Care America,6216
120551431317,Nickelodeon,Nickelodeon with Facebook Ad Credits,6165
23875187730,Feeding America,Feeding America,6108
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,6068
305832706292882,American Gun Association,GunAssociation.org,6066
213792049451918,Stand For America,Stand For America Inc,6045
181183059253295,Dorsal Bracelets,Dorsal Bracelets,6039
109784800371914,Protect Kids: Fight Flavored E-Cigarettes,TOBACCO-FREE KIDS ACTION FUND,5971
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,5882
314499212242,Pfizer,Pfizer Inc.,5863
717115395103069,PrintedKicks,Printed Kicks,5860
178835922297833,American Clinical Laboratory Association,American Clinical Laboratory Association,5857
121626482110,Operation Smile,"OPERATION SMILE, INC.",5850
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,5843
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,5802
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,5691
5435784683,Greenpeace USA,"GREENPEACE, INC.",5672
833845080319275,The Daily Patriot,Full Tilt Holdings LLC,5568
330641537286442,Virginia Constitutional Conservatives,Virginia Constitutional Conservatives,5550
389002298352371,American Senior Benefits,John M Davis,5496
2264090133834042,Invite Research,Precision Network,5425
8325302025,Friends of the Earth U.S.,Friends of the Earth,5309
461204744067686,Family Protection Association,Family Protection Association,5303
15188122178,The Hamilton Collection,The Hamilton Collection,5202
95356211637,Ben Ferguson,Ben Ferguson show,5182
277005566267077,Blueland,Blueland,5056
1194865807192273,Conservative Gear,Outergoods LLC,5043
169130470583214,Demand Justice,Demand Justice,5014
681626158940626,Mission Roll Call,Americas Warrior Partnership,4961
373814729643508,Let America Vote,LET AMERICA VOTE PAC,4892
157402764294444,"Union Mission Ministries, Norfolk","UNION MISSION INC, THE",4890
20876805343,March of Dimes,MARCH OF DIMES INC.,4719
27544763621,Prison Fellowship,Prison Fellowship,4711
221890358218748,Til Valhalla Project,Til Valhalla Project,4707
8501031021,VoteVets.org,VOTEVETS,4692
153678684700451,American Investment Council,AMERICAN INVESTMENT COUNCIL,4686
6500552187,Hulu,"HULU, LLC",4678
169294473121454,Policetees.com,PoliceTees.com,4651
134705859885321,Unilever,Unilever,4560
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,4558
2602473023098666,Democratic Polling Center,Democratic Governors Association,4545
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",4541
539755646515729,Tina Ramirez,"Friends of Tina Ramirez, Inc.",4508
293225127381200,Patriot Depot,The Patriot Depot,4459
328853823844484,Balance of Power,Balance of Power,4449
169130743498585,Tactical Pro Supply,Chad Keller,4437
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),4408
2283535575207809,Ditch Mitch,DITCH FUND,4358
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),4338
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",4294
383877235817031,Keep America Great,Keep America Great,4242
118502801658228,Young Kim,Young Kim for Congress,4210
296708523873754,Karla Dennis and Associates Inc.,"Karla Dennis & Associates, Inc",4143
1934191280189700,Health Care Voter,Health Care Voter,4139
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,4120
21834534343,Volunteers of America,"VOLUNTEERS OF AMERICA, INC.",4093
6985452607,Brita USA,The Clorox Company,4090
1556932204325823,ProgressPop,ProgressPop,4016
110177119192569,Knightscope,William Li,3931
1428283027462702,Restoration PAC,RESTORATION PAC,3904
359780944896828,American Lodestar,Polaris Media Lab LLC,3865
132492254050920,American AF,AAF Nation,3849
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",3834
112942500238297,Trees4Australia,Trees4Australia,3824
109294377239663,Savings and Good Living,Sonny Quang Nguyen,3786
36474716066,Color Of Change,COLOROFCHANGE.ORG,3771
