Page ID,Page Name,Disclaimer,Amount Spent (USD)
127216280686110,Ann Wagner,Ann Wagner for Congress,7534
25852730092,Care2,Care2 Inc,7030
137932966292045,Holly Rehder,Friends of Holly Rehder,6954
18982436812,ACLU,American Civil Liberties Union,6918
332716170522025,America First Action,America First Action,6875
85452072376,Newsmax,Newsmax Media,6826
105756057589080,The Lincoln Project,The Lincoln Project,6825
461204744067686,Family Protection Association,Family Protection Association,6808
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,6709
114710126648118,Republican Dogs,Republican Dogs,6682
174009339411865,SmartNews,"SmartNews International, Inc.",6592
27311599342,Preemptive Love,Preemptive Love Coalition,6505
717115395103069,PrintedKicks,Printed Kicks,6444
102553721449656,Change STL,"CHANGE STL PAC, WILLIAM ""BILL"" RAVENSBERG TREASURER",6400
139599847972,National Nurses United,National Nurses United,6070
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",5970
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,5957
2037695643113766,Blexit,Blexit Foundation,5762
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,5701
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",5683
213792049451918,Stand For America,Stand For America Inc,5643
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,5642
191817486024,60 Plus Association,60 PLUS ASSOCIATION INC,5588
101908424664094,Best Home Savers 2020,J D Grace Gorospe,5576
132492254050920,American AF,AAF Nation,5570
11791104453,NRDC,Natural Resources Defense Council,5559
681626158940626,Mission Roll Call,Americas Warrior Partnership,5520
100268581629555,Missouri Community Response,MOVE Action,5249
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,5205
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",5152
833845080319275,The Daily Patriot,Full Tilt Holdings LLC,5138
17911165812,Covenant House International,Covenant House,5090
1435071773455316,Daily Wire,The Daily Wire,5059
120551431317,Nickelodeon,Nickelodeon with Facebook Ad Credits,5052
203197030603239,8 Billion Trees,8 Billion Trees LLC,4976
1884107931849913,Republicans for the Rule of Law,Defending Democracy Together,4868
102617961152741,Barbara Bollier,BOLLIER FOR KANSAS,4856
309308412520731,Sandy Hook Promise,Sandy Hook Promise,4854
168051710543266,Lacy Johnson,Lacy Johnson for Congress,4759
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,4603
7483836629,Ancestry,Ancestry.com Operations Inc.,4539
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,4529
314499212242,Pfizer,Pfizer Inc.,4474
169130743498585,Tactical Pro Supply,Chad Keller,4435
