Page ID,Page Name,Disclaimer,Amount Spent (USD)
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,6670
237158469893,YWCA Minneapolis,YWCA of Minneapolis,6585
203805062990264,Ben Shapiro,The Daily Wire,6554
167586229923327,World Food Program USA,World Food Program USA,6541
111182343682003,Certified CCW,CertifiedCCW.com,6507
112621057029615,Stay Home Save Lives,"Stay Home, Save Lives",6498
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",6480
950998258312654,Knowhere,"Knowhere, Inc.",6437
203197030603239,8 Billion Trees,8 Billion Trees LLC,6343
11791104453,NRDC,Natural Resources Defense Council,6292
309308412520731,Sandy Hook Promise,Sandy Hook Promise,6227
106241024214152,American Home Life Periodical,Steven Luu Nguyen,6213
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",6167
2037695643113766,Blexit,Blexit Foundation,6163
2045579538797189,Advance Minnesota,Advance Minnesota Independent Expenditure Committee,6141
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,6030
132492254050920,American AF,AAF Nation,6001
107037332686173,Michelle Fischbach for Congress,FISCHBACH FOR CONGRESS,5956
101908424664094,Best Home Savers 2020,J D Grace Gorospe,5871
139599847972,National Nurses United,BE A HERO PAC,5840
528226220973181,Greater Than Fear,Faith in Minnesota,5770
1025055787535714,A Case for Women,A Case for Women,5737
1487587521541634,President Donald Trump Fan Club,I Love My Freedom,5690
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,5681
8047221596,Save the Children US,"SAVE THE CHILDREN FEDERATION, INC.",5548
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",5543
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,5432
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,5373
393932827634250,Dissent Pins,Common Practice,5250
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,5221
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,5201
5435784683,Greenpeace USA,"GREENPEACE, INC.",5130
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,5098
168051710543266,Lacy Johnson,Lacy Johnson for Congress,5098
1435071773455316,Daily Wire,The Daily Wire,5093
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",5080
105732744375701,Steve Bullock,Montanans for Bullock,5064
30139072158,CARE,CARE,4910
19812849944,United Food and Commercial Workers International Union,United Food and Commercial Workers International Union,4863
17911165812,Covenant House International,Covenant House,4860
2267405033373814,Doctor Patient Unity,Doctor Patient Unity,4854
101210588150219,Boy Scouts Abuse Claims,X Social Media LLC,4775
158791100909689,Concerned Veterans for America,Concerned Veterans for America,4775
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,4736
109473413934162,Minnesotans for Clean Cars,Minnesotans for Clean Cars,4714
25852730092,Care2,Care2 Inc,4688
114710126648118,Republican Dogs,Republican Dogs,4635
70373038195,FairVote Minnesota,Fairvote Minnesota,4609
246323280108,American Medical Association (AMA),American Medical Association,4497
305832706292882,American Gun Association,GunAssociation.org,4484
461204744067686,Family Protection Association,Family Protection Association,4462
2078647579047586,Project Pulso,Project Pulso,4446
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,4389
219612384781411,Bloomberg Philanthropies,Bloomberg Philanthropies,4310
