Page ID,Page Name,Disclaimer,Amount Spent (USD)
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,3590
85452072376,Newsmax,Newsmax Media,3558
132492254050920,American AF,AAF Nation,3474
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,3407
2037695643113766,Blexit,Blexit Foundation,3377
101210588150219,Boy Scouts Abuse Claims,X Social Media LLC,3360
18982436812,ACLU,American Civil Liberties Union,3343
102483947898713,Kansas Community Coalition,Kansas Community Coalition,3335
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,3299
27311599342,Preemptive Love,Preemptive Love Coalition,3298
717115395103069,PrintedKicks,Printed Kicks,3286
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,3267
174009339411865,SmartNews,"SmartNews International, Inc.",3264
305832706292882,American Gun Association,GunAssociation.org,3243
1025055787535714,A Case for Women,A Case for Women,3214
106016187682335,Free Forever PAC,Free Forever PAC,3170
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,3143
104226944554444,Arkansas Federation for Children Action Fund,Arkansas Federation for Children Action Fund,3084
25852730092,Care2,Care2 Inc,3076
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",3063
332716170522025,America First Action,America First Action,3060
461204744067686,Family Protection Association,Family Protection Association,3028
439466446237183,Retirement You Workshops,Retirement You,3012
542530592949093,Dave Lindstrom,Lindstrom for Senate,2975
213792049451918,Stand For America,Stand For America Inc,2889
1435071773455316,Daily Wire,The Daily Wire,2822
833845080319275,The Daily Patriot,Full Tilt Holdings LLC,2721
168051710543266,Lacy Johnson,Lacy Johnson for Congress,2628
141374766260,Kansas Policy Institute,KANSAS POLICY INSTITUTE,2572
232404617204556,"Congressman Roger Marshall, M.D.",Office of Congressman Roger Marshall,2571
114710126648118,Republican Dogs,Republican Dogs,2564
11791104453,NRDC,Natural Resources Defense Council,2562
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,2490
105732744375701,Steve Bullock,Montanans for Bullock,2485
681626158940626,Mission Roll Call,Americas Warrior Partnership,2459
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,2449
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",2430
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,2401
314499212242,Pfizer,Pfizer Inc.,2389
203197030603239,8 Billion Trees,8 Billion Trees LLC,2374
114501575391943,Compare Medicare Quotes,Benepath,2373
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,2357
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",2327
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",2321
246323280108,American Medical Association (AMA),American Medical Association,2305
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,2301
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,2257
120551431317,Nickelodeon,Nickelodeon with Facebook Ad Credits,2234
61198206469,Tracey Mann,MANN FOR CONGRESS,2196
