1,1,106900
2,1,174524
3,1,25944
4,1,7833
5,1,3431
6,1,14692
7,1,11195
8,1,7853
1,2,27764
2,2,27871
3,2,6209
4,2,3427
5,2,2319
6,2,3222
7,2,1978
8,2,785
1,4,303462
2,4,265387
3,4,63605
4,4,29175
5,4,16305
6,4,26670
7,4,19130
8,4,8077
9,4,28675
1,5,70172
2,5,99772
3,5,15075
4,5,5558
5,5,2915
6,5,7233
7,5,6482
8,5,3978
1,6,2125082
2,6,772365
3,6,392090
4,6,243788
5,6,186467
6,6,93676
7,6,56959
8,6,56013
9,6,4884
10,6,1930
1,7,337617
2,7,139161
3,7,62951
4,7,29793
5,7,19347
6,7,14863
7,7,10241
8,7,6730
9,7,164
1,8,213624
2,8,68971
3,8,42707
4,8,19136
5,8,10099
6,8,6716
7,8,4920
8,8,6091
1,9,56571
2,9,22914
3,9,14386
4,9,5309
5,9,1808
6,9,2590
7,9,1787
8,9,2226
9,9,15692
1,10,954588
2,10,895405
3,10,200717
4,10,77903
5,10,36750
6,10,78487
7,10,55059
8,10,36360
9,10,48740
1,11,390134
2,11,355838
3,11,89868
4,11,29248
5,11,14956
6,11,27193
7,11,18966
8,11,18165
9,11,2409
1,13,53049
2,13,26660
3,13,11924
4,13,6085
5,13,4303
6,13,2506
7,13,1846
8,13,1509
1,14,54575
2,14,60939
3,14,11384
4,14,4966
5,14,2860
6,14,5812
7,14,4523
8,14,1496
1,15,581340
2,15,285374
3,15,109055
4,15,47786
5,15,34621
6,15,21897
7,15,18289
8,15,22121
10,15,1550
1,16,199718
2,16,203401
3,16,42357
4,16,14760
5,16,8819
6,16,14767
7,16,13013
8,16,9204
1,17,100430
2,17,104708
3,17,23139
4,17,8914
5,17,4835
6,17,6266
7,17,5087
8,17,4003
9,17,274
1,18,96471
2,18,86744
3,18,21322
4,18,8088
5,18,4534
6,18,7909
7,18,6349
8,18,3590
1,19,131877
2,19,140874
3,19,29149
4,19,11184
5,19,5611
6,19,11403
7,19,158628
8,19,6109
1,20,108521
2,20,142976
3,20,22612
4,20,7305
5,20,5066
6,20,13532
7,20,10452
8,20,8202
1,21,77894
2,21,36181
3,21,16456
4,21,7725
5,21,4512
6,21,2715
7,21,2362
8,21,1675
1,22,345309
2,22,106055
3,22,82591
4,22,32860
5,22,16092
6,22,12546
7,22,8194
8,22,12066
1,23,490590
2,23,122294
3,23,91247
4,23,46366
5,23,32817
6,23,12606
7,23,8695
8,23,11297
1,24,417175
2,24,448912
3,24,87275
4,24,37274
5,24,21257
6,24,26831
7,24,21631
8,24,20901
9,24,2611
10,24,1617
1,25,251605
2,25,134516
3,25,54054
4,25,22942
5,25,14460
6,25,10744
7,25,8120
8,25,7644
9,25,953
1,26,48701
2,26,95887
3,26,11651
4,26,2944
5,26,1276
6,26,7342
7,26,6095
8,26,5195
1,27,202853
2,27,184952
3,27,43076
4,27,16943
5,27,9677
6,27,13672
7,27,12286
8,27,8909
1,28,41552
2,28,39689
3,28,8896
4,28,4368
5,28,2358
6,28,4429
7,28,3157
8,28,1226
1,29,56417
2,29,54310
3,29,11940
4,29,4181
5,29,2799
6,29,4587
7,29,3432
8,29,2073
1,30,111724
2,30,96331
3,30,24582
4,30,10636
5,30,5924
6,30,10301
7,30,6965
8,30,4444
9,30,17861
1,31,74646
2,31,37866
3,31,15343
