1,'Alabama',9
2,'Alaska',3
4,'Arizona',11
5,'Arkansas',6
6,'California',55
7,'Colorado',9
8,'Connecticut',7
9,'Delaware',3
10,'Florida',29
11,'Georgia',16
13,'Hawaii',4
14,'Idaho',4
15,'Illinois',20
16,'Indiana',11
17,'Iowa',6
18,'Kansas',6
19,'Kentucky',8
20,'Louisiana',8
21,'Maine',4
22,'Maryland',10
23,'Massachusetts',11
24,'Michigan',16
25,'Minnesota',10
26,'Mississippi',6
27,'Missouri',10
28,'Montana',3
29,'Nebraska',5
30,'Nevada',6
31,'New Hampshire',4
32,'New Jersey',14
33,'New Mexico',5
34,'New York',29
35,'North Carolina',15
36,'North Dakota',3
38,'Ohio',18
39,'Oklahoma',7
40,'Oregon',7
41,'Pennsylvania',20
43,'Rhode Island',4
44,'South Carolina',9
45,'South Dakota',3
46,'Tennessee',11
47,'Texas',38
49,'Utah',6
50,'Vermont',3
52,'Virginia',13
53,'Washington\, District of Columbia',3
54,'Washington',12
55,'West Virginia',5
56,'Wisconsin',10
57,'Wyoming',3
